sec,mm,N,mm(normalized),strain,stress
0.561686218,0.028669443,20.57713318,0,0,451216.6056
0.571614563,0.029217874,40.16778946,0.000548431,9.38773E-06,880801.6868
0.581542969,0.029731105,63.09682846,0.001061662,1.81729E-05,1383591.024
0.591471374,0.03010354,69.19524384,0.001434097,2.4548E-05,1517317.44
0.60139972,0.029870769,84.08048248,0.001201326,2.05636E-05,1843721.843
0.611328125,0.030935837,111.1822128,0.002266393,3.87948E-05,2438010.204
0.62125653,0.031813554,119.2019043,0.00314411,5.38191E-05,2613866.478
0.631184876,0.031516061,138.0087738,0.002846618,4.87268E-05,3026264.636
0.641113281,0.032358581,153.092453,0.003689138,6.31485E-05,3357020.455
0.651041687,0.032517546,168.6540985,0.003848103,6.58696E-05,3698257.147
0.660970032,0.033301018,183.7990112,0.004631574,7.92806E-05,4030355.697
0.670898438,0.034020904,205.6364594,0.005351461,9.16032E-05,4509208.566
0.680826843,0.033786997,218.4650421,0.005117554,8.75993E-05,4790514.494
0.690755188,0.033935743,236.2559814,0.0052663,9.01455E-05,5180635.273
0.700683594,0.035101872,254.3016052,0.006432429,0.000110107,5576340.79
0.710611999,0.035612833,276.5610352,0.00694339,0.000118853,6064446.901
0.720540345,0.035785422,301.1643677,0.007115979,0.000121807,6603950.246
0.73046875,0.036912945,327.0993042,0.008243502,0.000141108,7172653.083
0.740397155,0.037461374,337.8721313,0.008791931,0.000150495,7408880.279
0.750325501,0.037069636,349.5242004,0.008400193,0.00014379,7664387.546
0.760253906,0.037606715,357.9317322,0.008937272,0.000152983,7848748.406
0.770182312,0.038225546,376.8448486,0.009556103,0.000163576,8263476.352
0.780110657,0.039311053,402.8935547,0.01064161,0.000182157,8834673.935
0.790039063,0.039266768,421.4227905,0.010597325,0.000181399,9240984.125
0.799967468,0.040304585,448.1527405,0.011635142,0.000199164,9827120.065
0.809895813,0.04123908,467.4154358,0.012569637,0.00021516,10249513.6
0.819824219,0.041292446,483.7410889,0.012623002,0.000216073,10607503.49
0.829752624,0.041740954,512.5748901,0.013071511,0.000223751,11239772.81
0.83968097,0.042393847,535.9783936,0.013724404,0.000234926,11752966.23
0.849609375,0.044082291,559.2680054,0.015412848,0.000263828,12263662.23
0.85953778,0.043102384,560.2446899,0.014432941,0.000247055,12285079.03
0.869466126,0.043376029,566.0598145,0.014706586,0.000251739,12412593.43
0.879394531,0.04431279,594.3814697,0.015643347,0.000267774,13033632.37
0.889322937,0.045201865,611.8613892,0.016532422,0.000282993,13416933.09
0.899251282,0.046369125,633.9508057,0.017699682,0.000302973,13901311.14
0.909179688,0.046329384,661.5380859,0.017659941,0.000302293,14506246.67
