sec,mm,N,mm (normalized),strain,stress
0.113444008,0.000731242,438.855835,0,0,9623256.965
0.123372398,0.001394355,470.0328369,0.000663114,1.13508E-05,10306908.13
0.133300781,0.001857626,505.7223511,0.001126385,1.92808E-05,11089509.92
0.143229172,0.002082449,534.8477173,0.001351207,2.31292E-05,11728172.69
0.153157547,0.002273208,575.2374878,0.001541966,2.63945E-05,12613842
0.163085938,0.00312708,617.6047974,0.002395839,4.10106E-05,13542874.89
0.173014328,0.003308755,660.944397,0.002577513,4.41204E-05,14493228.22
0.182942703,0.00436247,704.2908936,0.003631228,6.21573E-05,15443732.79
0.192871094,0.003983223,736.718689,0.003251982,5.56656E-05,16154811.42
0.202799484,0.004816657,774.0262451,0.004085415,6.99318E-05,16972893.74
0.21272786,0.005336702,805.4794922,0.00460546,7.88336E-05,17662602.42
0.22265625,0.005881726,838.9662476,0.005150485,8.8163E-05,18396901.99
0.23258464,0.006506234,873.4734497,0.005774992,9.8853E-05,19153577.98
0.242513016,0.006667471,911.7164307,0.005936229,0.000101613,19992172.36
0.252441406,0.006896835,941.6360474,0.006165594,0.000105539,20648251.5
0.262369782,0.008064097,992.5390625,0.007332855,0.00012552,21764455.85
0.272298187,0.008429717,1042.619629,0.007698475,0.000131778,22862625.51
0.282226563,0.009051954,1105.472168,0.008320713,0.000142429,24240859.74
0.292154938,0.009796821,1135.526001,0.00906558,0.000155179,24899881.98
0.302083343,0.009642398,1172.815552,0.008911157,0.000152536,25717569.48
0.312011719,0.011243408,1203.541992,0.010512167,0.000179941,26391340.7
0.321940094,0.010966354,1239.51416,0.010235113,0.000175199,27180140.55
0.3318685,0.011177551,1275.730225,0.010446309,0.000178814,27974288.57
0.341796875,0.012026881,1327.220459,0.01129564,0.000193352,29103369.51
0.35172525,0.011781621,1362.209717,0.011050379,0.000189154,29870616.04
0.361653656,0.012753581,1400.775391,0.01202234,0.000205792,30716286.44
0.371582031,0.013534784,1443.401367,0.012803542,0.000219164,31650991.4
0.381510407,0.014706588,1486.760742,0.013975346,0.000239222,32601778.37
0.391438812,0.014420449,1520.675415,0.013689207,0.000234324,33345461.34
0.401367188,0.015022247,1564.811401,0.014291005,0.000244625,34313277.89
0.411295563,0.015376514,1609.627075,0.014645272,0.000250689,35295998.66
0.421223968,0.015880662,1651.467896,0.01514942,0.000259319,36213486.67
0.431152344,0.016598276,1695.600952,0.015867035,0.000271603,37181238.97
0.441080719,0.016559672,1742.678467,0.01582843,0.000270942,38213557.52
0.451009125,0.017797332,1795.681763,0.017066091,0.000292128,39375816.96
0.4609375,0.01837188,1841.301514,0.017640639,0.000301962,40376169.59
0.470865875,0.018885112,1874.012939,0.01815387,0.000310748,41093467.68
0.480794281,0.01914854,1894.697144,0.018417298,0.000315257,41547032.15
0.490722656,0.018701166,1910.335449,0.017969925,0.000307599,41889949.85
0.500651062,0.019507348,1945.986572,0.018776106,0.000321399,42671709.8
0.510579407,0.020031935,1990.806763,0.019300694,0.000330378,43654529.62
0.520507813,0.020776801,2034.34082,0.020045559,0.000343128,44609147.03
0.530436218,0.020890348,2077.011719,0.020159106,0.000345072,45544837.04
0.540364563,0.021975857,2117.118164,0.021244615,0.000363653,46424293.57
0.550292969,0.022289247,2148.560303,0.021558005,0.000369018,47113758.67
0.560221374,0.022668492,2195.677246,0.02193725,0.000375509,48146941.82
0.57014972,0.02356097,2228.514893,0.022829728,0.000390786,48867007.69
0.580078125,0.023336148,2266.516357,0.022604906,0.000386938,49700306.08
0.59000653,0.024785004,2314.24585,0.024053762,0.000411738,50746921.24
0.599934876,0.024712335,2355.515137,0.023981094,0.000410495,51651876.63
0.609863281,0.025847803,2397.927246,0.025116561,0.000429931,52581891.9
0.619791687,0.026156651,2423.03125,0.025425409,0.000435218,53132374
0.629720032,0.026338326,2446.242432,0.025607085,0.000438327,53641350.17
0.639648438,0.027210366,2482.271729,0.026479125,0.000453254,54431402.75
0.649576843,0.027385227,2513.613037,0.026653986,0.000456248,55118656.83
0.659505188,0.027164948,2549.641357,0.026433706,0.000452477,55908687.99
0.669433594,0.028030174,2586.485596,0.027298932,0.000467287,56716610.65
0.679361999,0.028277705,2620.561035,0.027546464,0.000471525,57463818.92
0.689290345,0.028881776,2646.08252,0.028150534,0.000481865,58023455.56
0.69921875,0.028981696,2675.141846,0.028250455,0.000483575,58660670.2
0.709147155,0.029647081,2708.017334,0.028915839,0.000494965,59381565.87
0.719075501,0.029622101,2735.251221,0.028890859,0.000494537,59978752.16
0.729003906,0.030262505,2781.617676,0.029531263,0.000505499,60995478.56
0.738932312,0.031039166,2825.937744,0.030307924,0.000518794,61967331.67
0.748860657,0.03127307,2862.119629,0.030541828,0.000522797,62760730.2
0.758789063,0.032969459,2897.328125,0.032238218,0.000551835,63532784.2
0.768717468,0.031738611,2917.243164,0.03100737,0.000530766,63969482.37
0.778645813,0.032855914,2939.560059,0.032124673,0.000549892,64458848.57
0.788574219,0.033335084,2959.294189,0.032603842,0.000558094,64891579.77
0.798502624,0.033612137,2989.177246,0.032880896,0.000562836,65546857.22
0.80843097,0.033680262,3020.286133,0.032949021,0.000564002,66229014.74
0.818359375,0.034545494,3054.956055,0.033814252,0.000578813,66989258.86
0.82828778,0.034718083,3088.876221,0.033986841,0.000581767,67733062.29
0.838216126,0.034972429,3124.229248,0.034241187,0.000586121,68508285.58
0.848144531,0.035560599,3165.480713,0.034829357,0.000596189,69412850.17
0.858072937,0.036201003,3204.911133,0.035469762,0.000607151,70277482.77
0.868001282,0.03664157,3245.97876,0.035910328,0.000614692,71178016.15
0.877929688,0.036936788,3280.798584,0.036205546,0.000619746,71941547.34
0.887858093,0.037266076,3317.757324,0.036534834,0.000625382,72751980.8
0.897786438,0.038626364,3359.54834,0.037895122,0.000648667,73668376.69
0.907714844,0.039162307,3427.688965,0.038431065,0.000657841,75162568.38
0.917643249,0.04022965,3473.635254,0.039498408,0.000676111,76170081.35
0.927571595,0.039732309,3518.662842,0.039001068,0.000667598,77157448.99
0.9375,0.040279607,3570.089844,0.039548365,0.000676966,78285143.36
0.947428405,0.041224317,3603.578369,0.040493075,0.000693137,79019481.75
0.957356751,0.041358304,3646.942627,0.040627062,0.000695431,79970375.78
0.967285156,0.042400661,3678.523438,0.04166942,0.000713273,80662881.68
0.977213562,0.04292525,3726.188721,0.042194009,0.000722253,81708088.86
0.987141907,0.043322663,3776.112061,0.042591422,0.000729055,82802810.84
0.997070313,0.044535343,3820.79126,0.043804102,0.000749813,83782538.99
1.006998658,0.044989531,3866.018799,0.044258289,0.000757588,84774291.17
1.016927123,0.045053115,3919.587646,0.044321874,0.000758676,85948952.06
1.026855469,0.046867593,3972.374023,0.046136352,0.000789736,87106454.88
1.036783814,0.046422494,4008.009033,0.045691252,0.000782117,87887861.51
1.046712279,0.047701029,4051.773438,0.046969787,0.000804002,88847529.98
1.056640625,0.047171903,4080.179199,0.046440661,0.000794945,89470413.22
1.066568971,0.04847769,4126.291504,0.047746449,0.000817296,90481566.59
1.076497436,0.048718408,4137.458984,0.047987166,0.000821417,90726447.77
1.086425781,0.048818332,4165.216309,0.048087091,0.000823127,91335112.03
1.096354127,0.049479171,4196.86084,0.048747929,0.000834439,92029015.21
1.106282592,0.050235394,4241.925781,0.049504153,0.000847384,93017201.93
1.116210938,0.049535945,4261.945801,0.048804704,0.000835411,93456202.12
1.126139283,0.051348154,4302.856934,0.050616912,0.000866431,94353303.88
1.136067748,0.051613853,4348.55957,0.050882612,0.000870979,95355474.03
1.145996094,0.052136169,4384.738281,0.051404927,0.00087992,96148802.96
1.155924439,0.052585816,4420.855957,0.051854574,0.000887617,96940793.52
1.165852904,0.053367014,4460.178223,0.052635772,0.000900989,97803054.51
1.17578125,0.052955977,4488.429199,0.052224735,0.000893953,98422543.61
1.185709596,0.053653155,4521.710449,0.052921914,0.000905887,99152336.85
1.195638061,0.053932479,4554.338379,0.053201238,0.000910668,99867804.04
1.205566406,0.054943048,4596.395508,0.054211806,0.000927967,100790035.3
1.215494752,0.056682584,4629.665039,0.055951342,0.000957743,101519571.5
1.225423217,0.055369983,4651.052246,0.054638741,0.000935275,101988551.5
1.235351563,0.056008117,4685.210938,0.055276875,0.000946198,102737585.3
1.245279908,0.05708227,4726.07373,0.056351029,0.000964585,103633627.1
1.255208373,0.057431993,4749.414063,0.056700751,0.000970571,104145435.3
1.265136719,0.057411555,4789.085449,0.056680313,0.000970221,105015351.8
1.275065064,0.058081481,4822.804688,0.05735024,0.000981688,105754749.3
1.284993529,0.058151883,4866.491699,0.057420642,0.000982894,106712720.7
1.294921875,0.05931687,4912.200684,0.058585628,0.001002835,107715030
1.304850221,0.05972337,4946.628418,0.058992129,0.001009793,108469963.4
1.314778686,0.060136681,4979.303223,0.059405439,0.001016868,109186458.5
1.324707031,0.060686245,5007.250488,0.059955003,0.001026275,109799287.8
1.334635377,0.060781626,5044.287598,0.060050384,0.001027908,110611439.8
1.344563842,0.06210331,5084.188965,0.061372069,0.001050532,111486399.3
1.354492188,0.061853512,5112.994629,0.061122271,0.001046256,112118051.7
1.364420533,0.06325468,5145.108887,0.062523438,0.00107024,112822255
1.374348998,0.063588501,5160.669434,0.062857259,0.001075954,113163467.6
1.384277344,0.062434869,5193.88623,0.061703627,0.001056207,113891847.5
1.394205689,0.063947315,5230.723633,0.063216073,0.001082096,114699620.3
1.404134154,0.064449188,5269.954102,0.063717947,0.001090687,115559868.4
1.4140625,0.065041902,5309.419434,0.064310661,0.001100833,116425266.5
1.423990846,0.065159991,5343.72998,0.06442875,0.001102854,117177630.2
1.433919311,0.066179644,5383.445313,0.065448402,0.001120308,118048510.4
1.443847656,0.066590685,5415.524414,0.065859443,0.001127344,118751942.9
1.453776002,0.06676781,5445.581543,0.066036569,0.001130376,119411037.4
1.463704467,0.067742047,5485.196289,0.067010805,0.001147052,120279711.9
1.473632813,0.06768528,5513.581543,0.066954038,0.001146081,120902145.4
1.483561158,0.068200774,5550.567383,0.067469532,0.001154905,121713173.1
1.493489623,0.068879781,5594.672363,0.068148539,0.001166528,122680309.8
1.503417969,0.069588321,5633.736816,0.068857079,0.001178656,123536917.5
1.513346314,0.07064658,5669.311035,0.069915338,0.001196771,124316991
1.523274779,0.070678369,5696.379395,0.069947127,0.001197315,124910547.6
1.533203125,0.070910006,5736.898438,0.070178764,0.00120128,125799051.6
1.543131471,0.070662471,5771.697754,0.069931229,0.001197043,126562133.1
1.553059936,0.071886512,5809.470215,0.071155271,0.001217995,127390409.9
1.562988281,0.072710856,5846.743652,0.071979615,0.001232106,128207744.1
1.572916627,0.073489784,5876.795898,0.072758542,0.001245439,128866731.5
1.582845092,0.073530668,5904.848633,0.072799426,0.001246139,129481873.6
1.592773438,0.07351704,5938.941895,0.072785798,0.001245905,130229472.6
1.602701783,0.074482188,5970.812988,0.073750947,0.001262426,130928343.9
1.612630248,0.074688847,6001.342285,0.073957606,0.001265964,131597792.1
1.622558594,0.074813746,6028.053711,0.074082505,0.001268102,132183521.9
1.632486939,0.075772077,6063.90332,0.075040836,0.001284506,132969634.2
1.642415404,0.076210374,6094.711426,0.075479132,0.001292008,133645196.2
